date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:50	3961/3961	---M--	200	added ('OK')	image/jpeg	etag:%22f79-5e36614a3c600%22	http://3.37.186.116/assets/images/lookbook/lookbook-s2-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s2-1.jpg	(from http://3.37.186.116/lookbook-3columns.html)
21:09:51	3753/3753	---M--	200	added ('OK')	image/jpeg	etag:%22ea9-5e36614483880%22	http://3.37.186.116/assets/images/lookbook/lookbook-s2-3.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s2-3.jpg	(from http://3.37.186.116/lookbook-3columns.html)
21:09:52	4329/4329	---M--	200	added ('OK')	image/jpeg	etag:%2210e9-5e3661429b400%22	http://3.37.186.116/assets/images/lookbook/lookbook-s2-6.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s2-6.jpg	(from http://3.37.186.116/lookbook-3columns.html)
21:09:52	2606/2606	---M--	200	added ('OK')	image/jpeg	etag:%22a2e-5e3661466bd00%22	http://3.37.186.116/assets/images/lookbook/lookbook-s3-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s3-1.jpg	(from http://3.37.186.116/lookbook-4columns.html)
21:09:52	2711/2711	---M--	200	added ('OK')	image/jpeg	etag:%22a97-5e36614854180%22	http://3.37.186.116/assets/images/lookbook/lookbook-s3-2.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s3-2.jpg	(from http://3.37.186.116/lookbook-4columns.html)
21:09:53	2462/2462	---M--	200	added ('OK')	image/jpeg	etag:%2299e-5e3661429b400%22	http://3.37.186.116/assets/images/lookbook/lookbook-s3-3.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s3-3.jpg	(from http://3.37.186.116/lookbook-4columns.html)
21:09:53	90524/90524	---M--	200	added ('OK')	image/png	etag:%221619c-5e36611c75a00%22	http://3.37.186.116/assets/images/elements/index-demo10-banner-stylesrc="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/index-demo10-banner-stylesrc="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-banner-styles.html)
21:09:53	2377/2377	---M--	200	added ('OK')	image/jpeg	etag:%22949-5e36614a3c600%22	http://3.37.186.116/assets/images/lookbook/lookbook-s3-4.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s3-4.jpg	(from http://3.37.186.116/lookbook-4columns.html)
21:09:53	1849/1849	---M--	200	added ('OK')	image/jpeg	etag:%22739-5e3660fdf1200%22	http://3.37.186.116/assets/images/avatar-img1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/avatar-img1.jpg	(from http://3.37.186.116/my-account.html)
21:09:54	1849/1849	---M--	200	added ('OK')	image/jpeg	etag:%22739-5e36610b4b180%22	http://3.37.186.116/assets/images/blog/recent-commnet.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/blog/recent-commnet.jpg	(from http://3.37.186.116/login-sliding-style.html)
21:09:54	106582/106582	---M--	200	added ('OK')	image/png	etag:%221a056-5e36611e5de80%22	http://3.37.186.116/assets/images/elements/index-demo13-banner-stylesrc="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/index-demo13-banner-stylesrc="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-banner-styles.html)
21:09:55	203/203	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:39:54%20GMT	http://3.37.186.116/admin	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/admin	(from http://3.37.186.116/coming-soon.html)
21:09:55	1849/1849	---M--	200	added ('OK')	image/jpeg	etag:%22739-5e36610d33600%22	http://3.37.186.116/assets/images/blog/post-small-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/blog/post-small-1.jpg	(from http://3.37.186.116/blog-left-sidebar.html)
21:09:56	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%22977-5e3660fdf1200%22	http://3.37.186.116/assets/images/new-sale-banner.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/new-sale-banner.jpg	(from http://3.37.186.116/blog-left-sidebar.html)
21:09:56	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%22977-5e3660f097280%22	http://3.37.186.116/assets/images/black-friday-banner.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/black-friday-banner.jpg	(from http://3.37.186.116/blog-right-sidebar.html)
21:09:56	8549/8549	---M--	200	added ('OK')	image/jpeg	etag:%222165-5e36610d33600%22	http://3.37.186.116/assets/images/blog/post-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/blog/post-1.jpg	(from http://3.37.186.116/blog-left-sidebar.html)
21:09:57	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%22977-5e3660fdf1200%22	http://3.37.186.116/assets/images/top-sale-banner.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/top-sale-banner.jpg	(from http://3.37.186.116/blog-masonry.html)
21:09:57	60196/60196	---M--	200	added ('OK')	image/jpeg	etag:%22eb24-5e3660f467b80%22	http://3.37.186.116/assets/images/error-404.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/error-404.jpg	(from http://3.37.186.116/error-404.html)
21:10:02	24027/24027	---M--	200	added ('OK')	image/png	etag:%225ddb-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-1src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-1src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:03	4646/4646	---M--	200	added ('OK')	image/png	etag:%221226-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-2src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-2src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:06	15970/15970	---M--	200	added ('OK')	image/png	etag:%223e62-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-3src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-3src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:07	3394/3394	---M--	200	added ('OK')	image/png	etag:%22d42-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-4src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-4src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:08	4854/4854	---M--	200	added ('OK')	image/png	etag:%2212f6-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-5src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-5src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
